nohup: ignoring input
2025-04-10 17:51:42.658077: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-04-10 17:51:42.703117: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-04-10 17:51:44.002448: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/project/fyp24_ho3/tmtong/miniconda3/envs/muxit/lib/python3.11/site-packages/transformers/models/encodec/modeling_encodec.py:124: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.register_buffer("padding_total", torch.tensor(kernel_size - stride, dtype=torch.int64), persistent=False)
Using GPUs: [0, 1, 2, 3, 4, 5, 6, 7]
Using logical GPU indices: [0, 1, 2, 3, 4, 5, 6, 7]
Mapped devices: [device(type='cuda', index=0), device(type='cuda', index=1), device(type='cuda', index=2), device(type='cuda', index=3), device(type='cuda', index=4), device(type='cuda', index=5), device(type='cuda', index=6), device(type='cuda', index=7)]
Loading MusicGen model 'facebook/musicgen-stereo-melody'...
Converting model components to float32 for consistent computation...
Creating model-parallel version of the language model...
Model parallel using devices: [device(type='cuda', index=0), device(type='cuda', index=1), device(type='cuda', index=2), device(type='cuda', index=3), device(type='cuda', index=4), device(type='cuda', index=5), device(type='cuda', index=6), device(type='cuda', index=7)]
Distributed 48 transformer layers across 8 devices
Device 0 (cuda:0): 6 layers
Device 1 (cuda:1): 6 layers
Device 2 (cuda:2): 6 layers
Device 3 (cuda:3): 6 layers
Device 4 (cuda:4): 6 layers
Device 5 (cuda:5): 6 layers
Device 6 (cuda:6): 6 layers
Device 7 (cuda:7): 6 layers
Applying LoRA with r=16, alpha=32.0, dropout=0.1
Target modules for LoRA: ['out_proj']
Added LoRA modules! Trainable params: 2,359,296 (2.083333% of total 113,246,208)
Epoch: 0/10, Batch: 0/5666, Loss: 9.380543, Grad Norm: 2.593427, LR: 0.000000
Epoch: 0/10, Batch: 1/5666, Loss: 9.470404, Grad Norm: 2.880956, LR: 0.000000
Epoch: 0/10, Batch: 2/5666, Loss: 10.004728, Grad Norm: 2.467782, LR: 0.000000
Epoch: 0/10, Batch: 3/5666, Loss: 9.456326, Grad Norm: 3.129754, LR: 0.000000
Audio too short: 18.28s < 30s
Epoch: 0/10, Batch: 5/5666, Loss: 9.679333, Grad Norm: 2.155881, LR: 0.000000
Epoch: 0/10, Batch: 6/5666, Loss: 10.036487, Grad Norm: 2.811647, LR: 0.000000
Epoch: 0/10, Batch: 7/5666, Loss: 10.912209, Grad Norm: 2.806173, LR: 0.000000
Epoch: 0/10, Batch: 8/5666, Loss: 9.215921, Grad Norm: 2.628521, LR: 0.000000
Epoch: 0/10, Batch: 9/5666, Loss: 9.867625, Grad Norm: 2.511399, LR: 0.000001
Epoch: 0/10, Batch: 10/5666, Loss: 9.931031, Grad Norm: 3.645802, LR: 0.000001
Epoch: 0/10, Batch: 11/5666, Loss: 9.844193, Grad Norm: 2.385584, LR: 0.000001
Epoch: 0/10, Batch: 12/5666, Loss: 9.915849, Grad Norm: 2.673161, LR: 0.000001
Epoch: 0/10, Batch: 13/5666, Loss: 10.398711, Grad Norm: 2.459841, LR: 0.000001
Epoch: 0/10, Batch: 14/5666, Loss: 8.956472, Grad Norm: 3.146936, LR: 0.000001
Epoch: 0/10, Batch: 15/5666, Loss: 9.026124, Grad Norm: 2.581770, LR: 0.000001
Epoch: 0/10, Batch: 16/5666, Loss: 10.013149, Grad Norm: 2.770690, LR: 0.000001
Epoch: 0/10, Batch: 17/5666, Loss: 10.948888, Grad Norm: 2.964021, LR: 0.000001
Epoch: 0/10, Batch: 18/5666, Loss: 10.452107, Grad Norm: 3.742769, LR: 0.000001
Epoch: 0/10, Batch: 19/5666, Loss: 11.044645, Grad Norm: 2.621096, LR: 0.000001
Epoch: 0/10, Batch: 20/5666, Loss: 9.865232, Grad Norm: 3.449450, LR: 0.000001
